load_id,pickup,delivery,pickup_lat,pickup_lon,delivery_lat,delivery_lon,distance,equipment,weight,date,market_index,quote_signal,posted_rate,predicted_rate,lane,base_rate_dq,base_rate_dqm,ton_miles,delta_lat,delta_lon,is_westbound,is_transcon,compass_bearing,dist_x_pickup_lat,dist_x_delivery_lat,month,quarter,day_of_year
TR-000001,Richmond,Baltimore,38.09122,-76.78906,38.16908,-72.74564,274.3,Dry Van,30658.0,2025-01-01,0.95684,2.39595,645.41,,Richmond_to_Baltimore,657.2090850000001,628.8439408914,4204.7447,0.07786000000000115,4.043420000000012,0,0,0.019253596914433506,10448.421646,10469.778644,1,1,1
TR-000002,Richmond,Philadelphia,38.09122,-76.78906,39.22317,-72.9671,280.5,Reefer,17555.0,2025-01-01,0.97623,2.43355,679.97,,Richmond_to_Philadelphia,682.610775,666.3851168782501,2462.08875,1.1319500000000033,3.8219600000000042,0,0,0.2879393653424535,10684.58721,11002.099185000001,1,1,1
TR-000003,Philadelphia,Green Bay,39.22317,-72.9671,44.30296,-87.52871,967.8,Dry Van,31721.0,2025-01-01,1.00971,1.84491,1802.54,,Philadelphia_to_Green Bay,1785.503898,1802.8411408495801,15349.7919,5.079789999999996,-14.561610000000002,1,0,2.8059443929495704,37960.183926,42876.404687999995,1,1,1
TR-000004,Hartford,Atlanta,39.55328,-72.18051,34.84933,-86.2894,965.4,Dry Van,32333.0,2025-01-01,0.94518,1.87712,1827.28,,Hartford_to_Atlanta,1812.1716479999998,1712.8283982566397,15607.139099999999,-4.703949999999999,-14.108890000000002,1,0,-2.819779161473085,38184.736512,33643.543182,1,1,1
TR-000005,Dallas,Nashville,31.83025,-94.38343,35.29479,-88.08915,541.9,Reefer,35183.0,2025-01-01,0.9848,2.563,1380.28,,Dallas_to_Nashville,1388.8897,1367.77857656,9532.833849999999,3.4645399999999995,6.2942800000000005,0,0,0.5031707808000572,17248.812475,19126.246701,1,1,1
TR-000006,Phoenix,Corpus Christi,28.75668,-115.87725,28.61374,-95.89569,1396.4,Flatbed,17018.0,2025-01-01,0.95167,1.92983,2676.98,,Phoenix_to_Corpus Christi,2694.814612,2564.57422180204,11881.967600000002,-0.1429399999999994,19.98156,0,0,-0.00715347359303611,40155.827952,39956.226536,1,1,1
TR-000007,Fresno,San Antonio,33.07921,-119.79528,29.50969,-98.40059,1502.6,Dry Van,19112.0,2025-01-01,0.95696,1.82074,2718.54,,Fresno_to_San Antonio,2735.843924,2618.0932015110398,14358.845599999999,-3.5695200000000042,21.39469000000001,0,0,-0.16531868194391686,49704.820946,44341.260193999995,1,1,1
TR-000008,San Francisco,Kansas City,35.1967,-121.69849,39.41104,-91.1245,1976.9,Dry Van,29169.0,2025-01-01,0.97818,1.7843,3522.92,,San Francisco_to_Kansas City,3527.38267,3450.4151801406,28832.09805,4.21434,30.57399000000001,0,0,0.13697751938199776,69580.35623,77911.684976,1,1,1
TR-000009,Bakersfield,Montgomery,33.28832,-116.67935,31.37602,-86.10743,2027.7,Dry Van,35018.0,2025-01-01,0.96534,1.79522,3675.27,,Bakersfield_to_Montgomery,3640.167594,3513.99938519196,35502.9993,-1.9122999999999983,30.571920000000006,0,1,-0.06246947559072903,67498.72646399999,63621.155754,1,1,1
TR-000010,Albuquerque,Phoenix,35.39918,-109.59792,28.75668,-115.87725,717.1,Flatbed,34671.0,2025-01-01,0.98475,2.17079,1578.83,,Albuquerque_to_Phoenix,1556.6735090000002,1532.9342379877503,12431.28705,-6.642500000000002,-6.279330000000002,1,0,-2.3280967344810395,25384.751978,20621.415228,1,1,1
TR-000011,Harrisburg,Fresno,39.71695,-78.12481,33.07921,-119.79528,2766.6,Dry Van,28651.0,2025-01-01,0.92945,1.72804,4744.15,,Harrisburg_to_Fresno,4780.795464,4443.5103440148,39632.9283,-6.637739999999994,-41.67047000000001,1,1,-2.983628555961776,109880.91386999999,91516.94238600001,1,1,1
